StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q19,Q20,Q21,Q1,Q2,Q4,Q5,Q50,Q41,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q37_1,Q37_2,Q37_3,Q37_4,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q38_1,Q38_2,Q38_3,Q38_4,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q39_1,Q39_2,Q39_3,Q39_4,Q13,Q15,Q17,Q14,Q16,Q7,Q8,Q9,Q10,Q11,Q12,Q39,Q24,Q26,Q25,Q40,Q38,Block,SASSY,avg belief in BoM,avg belief in anthropogenic climate change,avg belief in climate scientists,avg belief in pro-environmental behaviours,populism
7/03/2024 17:43,7/03/2024 17:46,0,58.179.65.103,100,133,1,7/03/2024 17:46,R_4qsMaEZv1AfsSGW,,,,,-27.6488,153.0567,anonymous,EN,1,3,5,4,3,2,1,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,5,4,5,3,5,5,5,3,4,5,4,2, Love it,4,5,4,4.333333333,4.333333333,4.333333333,3.5
8/03/2024 19:55,8/03/2024 19:58,0,118.209.98.19,100,133,1,8/03/2024 19:58,R_4Tni85m7DfUu379,,,,,-42.885,147.3343,anonymous,EN,1,2,2,2,2,2,2,4,3,6,2,,,,,,,,,,,,,,,,,,,4,4,4,1,6,3,2,2,4,3,2,2,3,6,4,3,2,2,4,4,3,4,4,4,3,No,3,2,3,2.333333333,3.666666667,4,2.5
8/03/2024 19:41,8/03/2024 19:43,0,58.164.83.179,100,139,1,8/03/2024 19:43,R_4Y8H7caqhF5PL3P,,,,,-33.8715,151.2006,anonymous,EN,1,2,2,2,2,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,5,8,5,5,1,5,5,5,1,5,5,5,1,No,4,2,3.666666667,2.333333333,3.666666667,5,3
8/03/2024 19:44,8/03/2024 19:46,0,118.209.218.101,100,141,1,8/03/2024 19:46,R_4K3ddb7FToAzjCO,,,,,-37.8199,145.0285,anonymous,EN,1,3,3,3,3,1,2,5,3,2,2,,,,,,,,,,,,,,,,,,,4,2,5,4,2,3,4,5,2,4,4,3,4,3,4,3,4,4,3,2,3,4,2,3,4,,3,3,3.666666667,3.666666667,2.666666667,3,4
8/03/2024 20:00,8/03/2024 20:03,0,1.147.15.50,100,141,1,8/03/2024 20:03,R_44SQX9KEgk8I5IB,,,,,-34.9281,138.5999,anonymous,EN,1,2,3,3,3,2,1,3,3,4,3,4,3,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,3,3,3,3,1,3,3,4,3,3,3,4,3,3,4,3,Good,1,3,3.333333333,3,3.333333333,3.333333333,3
12/03/2024 20:33,12/03/2024 20:36,0,1.145.101.225,100,141,1,12/03/2024 20:36,R_4PqaFhcIdLBqXHe,,,,,-33.9175,151.0922,anonymous,EN,1,3,2,3,2,1,2,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,3,3,3,3,3,3,2,1,3,3,3,2,No,4,3,3,3,2,3,2.5
12/03/2024 12:07,12/03/2024 12:09,0,220.233.36.65,100,141,1,12/03/2024 12:09,R_4QyxnK8yKyWxpue,,,,,-27.5586,153.0981,anonymous,EN,1,2,2,2,3,2,1,1,3,3,3,,,,,,,,,,3,3,6,6,5,3,5,4,5,,,,,,,,,,3,2,2,4,3,4,3,2,4,3,2,2,3,4,3,3,Quite good ,2,3,3,2.666666667,2.333333333,3.333333333,3.5
7/03/2024 17:35,7/03/2024 17:37,0,101.115.151.168,100,143,1,7/03/2024 17:37,R_4oWTWsSKTmifWDV,,,,,-37.8159,144.9669,anonymous,EN,1,3,2,2,2,2,2,2,1,4,2,1,3,4,7,4,7,6,6,7,,,,,,,,,,,,,,,,,,,4,2,2,4,6,4,4,1,4,4,4,1,5,4,4,2,The survey is suitable for me,1,3,3,2.666666667,3,4.333333333,3
8/03/2024 20:05,8/03/2024 20:07,0,101.173.134.79,100,143,1,8/03/2024 20:07,R_4SXnfXQvZTam5HP,,,,,-37.8159,144.9669,anonymous,EN,1,2,3,2,1,2,3,4,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,3,4,4,4,4,4,4,2,5,4,5,2,Nil,4,2,4,3,3.333333333,4.666666667,3
12/03/2024 12:15,12/03/2024 12:18,0,49.185.149.9,100,143,1,12/03/2024 12:18,R_4v0usEqcDwz9aSC,,,,,-37.8159,144.9669,anonymous,EN,1,2,3,2,1,1,1,2,2,2,3,,,,,,,,,,,,,,,,,,,2,1,7,4,3,2,1,1,1,2,2,4,4,5,5,4,4,4,4,4,4,4,3,4,4,,3,2,4.333333333,3.333333333,4,3.666666667,4
8/03/2024 19:46,8/03/2024 19:49,0,1.159.167.90,100,144,1,8/03/2024 19:49,R_4XW1o7JFx8tjRrH,,,,,-31.9643,115.8595,anonymous,EN,1,2,2,2,2,2,1,3,3,1,4,3,4,2,5,3,5,7,3,1,,,,,,,,,,,,,,,,,,,4,1,1,5,5,3,2,4,4,3,4,2,3,4,5,2,,1,2,3,2.333333333,3,4,3
11/03/2024 15:42,11/03/2024 15:45,0,1.157.60.92,100,146,1,11/03/2024 15:45,R_4fBHsenyCtDH95L,,,,,-35.2298,149.106,anonymous,EN,1,2,3,3,2,2,3,3,2,1,3,,,,,,,,,,1,1,7,7,7,3,3,3,3,,,,,,,,,,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,,2,3,4,3,3,3,3
12/03/2024 20:15,12/03/2024 20:17,0,139.218.136.248,100,147,1,12/03/2024 20:17,R_41Go1oWd0WpZG3T,,,,,-33.3555,151.4785,anonymous,EN,1,2,2,2,2,1,1,3,2,2,2,4,4,4,4,4,4,3,4,5,,,,,,,,,,,,,,,,,,,4,2,2,3,4,3,3,3,4,4,4,2,3,4,4,2,Nill,1,2,3,2.333333333,3.333333333,3.666666667,3
12/03/2024 20:58,12/03/2024 21:00,0,1.145.110.15,100,148,1,12/03/2024 21:00,R_4dS18eK3CJJ1HqI,,,,,-33.8182,151.1602,anonymous,EN,1,4,5,3,3,1,2,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,4,3,3,3,3,2,4,3,1,1,3,3,,4,5,3,3.333333333,3,1.666666667,3
12/03/2024 20:55,12/03/2024 20:58,0,101.181.70.93,100,148,1,12/03/2024 20:58,R_4HjFjlj3PjaVI4C,,,,,-37.834,144.9832,anonymous,EN,1,3,3,3,3,1,4,2,1,2,4,,,,,,,,,,4,3,5,5,5,5,5,5,5,,,,,,,,,,3,3,3,3,1,3,4,2,3,3,4,3,3,3,3,3,Nil,2,3,3,3,3.333333333,3,3
12/03/2024 12:10,12/03/2024 12:13,0,49.177.39.90,100,149,1,12/03/2024 12:13,R_40tWFScTdE7i1IR,,,,,-27.9997,153.4344,anonymous,EN,1,2,2,2,1,2,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,6,4,4,4,5,5,5,1,5,5,5,5,,4,2,4,1.666666667,3.666666667,5,5
12/03/2024 12:16,12/03/2024 12:18,0,115.69.25.3,100,149,1,12/03/2024 12:18,R_4S3EuQt1mTxYzUl,,,,,-32.9856,151.7237,anonymous,EN,1,2,2,2,1,2,2,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,5,5,5,1,4,4,5,1,4,5,5,3,Good survey ,4,2,3.666666667,3.333333333,3.333333333,4.666666667,3.5
8/03/2024 19:41,8/03/2024 19:43,0,101.185.5.103,100,150,1,8/03/2024 19:43,R_4YhOMJ6uqyutSz4,,,,,-38.4715,145.9477,anonymous,EN,1,2,3,2,1,2,2,3,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,4,1,3,4,4,3,4,4,3,4,4,4,3,,4,2,3.666666667,2.666666667,3.666666667,4,3
8/03/2024 20:20,8/03/2024 20:22,0,49.186.79.70,100,151,1,8/03/2024 20:22,R_41Hqa9L9M32Pvth,,,,,-33.9013,151.0229,anonymous,EN,1,4,5,4,4,1,2,5,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,4,1,1,1,1,1,2,3,4,1,1,2,1,No,4,6,1,3.666666667,3,1.333333333,1
12/03/2024 20:32,12/03/2024 20:34,0,1.145.53.88,100,152,1,12/03/2024 20:34,R_4PcJvAx5ipaLHkz,,,,,-33.8906,151.0463,anonymous,EN,1,3,4,4,4,1,3,5,2,3,2,5,5,6,6,6,2,2,2,2,,,,,,,,,,,,,,,,,,,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,,1,6,3,3,3,3,3
8/03/2024 19:50,8/03/2024 19:52,0,121.208.213.18,100,153,1,8/03/2024 19:52,R_43m8xG3AYRcLz27,,,,,-37.8159,144.9669,anonymous,EN,1,4,5,5,5,2,3,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,1,5,5,5,5,5,5,5,1,1,4,3,,4,5,5,3,5,2,4
11/03/2024 15:42,11/03/2024 15:44,0,1.147.52.165,100,153,1,11/03/2024 15:44,R_4v02Z0If4FYiK0k,,,,,-34.9281,138.5999,anonymous,EN,1,2,3,4,2,2,3,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,4,5,4,3,3,4,4,4,4,4,5,3,lets make the world livable for years to come ,4,3,4,3,4,4.333333333,3
12/03/2024 20:08,12/03/2024 20:11,0,114.76.90.48,100,154,1,12/03/2024 20:11,R_4JjtDBy8051BXu9,,,,,-32.9333,151.7814,anonymous,EN,1,3,4,4,3,1,3,5,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,5,2,4,3,2,1,2,1,1,3,1,2,3,Thought provoking,4,5,3,2.666666667,1.333333333,2,2
12/03/2024 12:23,12/03/2024 12:25,0,120.147.173.205,100,154,1,12/03/2024 12:25,R_4nkSufzBtO2GLPr,,,,,-37.8159,144.9669,anonymous,EN,1,2,3,2,1,2,1,2,3,1,2,2,3,5,5,5,5,3,5,3,,,,,,,,,,,,,,,,,,,3,2,4,3,3,4,4,4,4,4,4,4,4,4,4,3,,1,2,4,3,4,4,3.5
7/03/2024 17:43,7/03/2024 17:46,0,1.145.44.212,100,155,1,7/03/2024 17:46,R_4usMqRgsN1he2uL,,,,,-33.8601,151.2101,anonymous,EN,1,2,2,2,1,2,2,3,3,2,2,,,,,,,,,,,,,,,,,,,3,3,4,4,4,3,3,2,6,4,2,2,4,5,4,4,2,4,4,4,2,4,4,4,3,Good survey on global warming ,3,2,3.333333333,2.666666667,3.333333333,4,3.5
13/03/2024 12:35,13/03/2024 12:37,0,58.107.64.191,100,155,1,13/03/2024 12:37,R_4Ez023kFOKjsIUx,,,,,-33.8715,151.2006,anonymous,EN,1,2,4,4,3,1,2,1,3,2,4,,,,,,,,,,,,,,,,,,,3,3,6,5,5,2,1,2,3,4,2,2,4,3,3,5,2,4,3,3,2,2,3,1,3,,3,3,3.333333333,2.666666667,2.666666667,2,3.5
8/03/2024 19:52,8/03/2024 19:55,0,101.115.80.242,100,156,1,8/03/2024 19:55,R_4jf6TyZJqNCZexg,,,,,-33.8095,151.0439,anonymous,EN,1,2,2,2,1,2,2,3,3,2,3,,,,,,,,,,,,,,,,,,,3,3,5,6,6,1,1,1,1,1,2,5,1,5,4,3,5,4,4,5,5,5,3,4,1,,3,2,4,2.666666667,4.666666667,4,2.5
12/03/2024 19:55,12/03/2024 19:57,0,121.200.4.182,100,156,1,12/03/2024 19:57,R_4YsaaJWn6NPuI1l,,,,,-37.834,144.9832,anonymous,EN,1,2,3,3,2,2,2,1,3,1,1,,,,,,,,,,,,,,,,,,,6,5,4,5,5,1,1,2,1,2,2,4,3,7,4,4,5,5,4,5,5,3,3,4,3,,3,3,4.333333333,3,4.666666667,3.333333333,4
11/03/2024 15:56,11/03/2024 15:58,0,115.166.24.60,100,157,1,11/03/2024 15:58,R_4BBT8HnJap8SLp7,,,,,-34.8545,138.6471,anonymous,EN,1,2,2,2,1,1,2,3,3,6,3,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,5,1,2,3,3,4,3,2,5,5,5,4,3,3,3,3,No comment,3,2,3,2,4.666666667,3,4
12/03/2024 20:12,12/03/2024 20:14,0,106.70.254.111,100,160,1,12/03/2024 20:15,R_4KkzDve1Khy1VrU,,,,,-37.9848,145.1981,anonymous,EN,1,2,1,3,2,1,2,4,3,1,3,,,,,,,,,,6,5,6,4,5,5,6,6,7,,,,,,,,,,4,2,4,5,3,5,2,1,2,1,5,2,4,3,5,3,I am worried about climate change so we humans should try to prevent the severe consequences of it. ,2,2,2.666666667,3.666666667,2.666666667,4,2.5
7/03/2024 17:48,7/03/2024 17:50,0,144.134.62.125,100,161,1,7/03/2024 17:50,R_4ZJk53m2s9V1QGG,,,,,-27.4679,153.0325,anonymous,EN,1,3,4,3,3,1,3,3,2,6,3,,,,,,,,,,2,3,5,6,5,5,3,3,2,,,,,,,,,,3,3,3,5,4,4,4,3,3,3,4,3,1,1,1,3,,2,5,3.666666667,3.666666667,3.333333333,1,3
12/03/2024 19:52,12/03/2024 19:54,0,49.196.208.25,100,161,1,12/03/2024 19:54,R_4R2vBE3UjntDpxf,,,,,-32.0301,115.973,anonymous,EN,1,2,1,2,1,2,1,3,2,4,3,,,,,,,,,,3,1,1,2,6,3,1,5,1,,,,,,,,,,2,2,5,2,5,4,4,4,5,4,3,5,4,5,4,5,I liked it and climate change is real and it might be too late to help ,2,1,4,3,4,4.333333333,5
7/03/2024 17:47,7/03/2024 17:50,0,211.30.65.201,100,163,1,7/03/2024 17:50,R_4KCmJheMUsAtd3H,,,,,-27.4679,153.0325,anonymous,EN,1,3,4,3,3,2,4,2,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,4,2,3,4,4,2,3,2,2,2,2,3,2,,4,5,3.666666667,3,2.333333333,2.333333333,2
12/03/2024 19:47,12/03/2024 19:50,0,210.84.3.89,100,163,1,12/03/2024 19:50,R_4Harc3RZBhyJVKx,,,,,-33.8715,151.2006,anonymous,EN,1,3,3,4,3,2,1,2,1,3,3,,,,,,,,,,5,4,2,4,4,4,5,4,4,,,,,,,,,,4,4,4,4,5,5,4,4,5,3,2,3,5,3,3,2,no,2,5,4.333333333,4,2.666666667,3.666666667,3.5
12/03/2024 12:00,12/03/2024 12:03,0,121.200.4.13,100,163,1,12/03/2024 12:03,R_4CBpDsaLqYEPmdZ,,,,,-37.7684,144.9513,anonymous,EN,1,2,2,3,1,2,2,5,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,3,Climate change,4,2,4,2.333333333,4,4,3.5
12/03/2024 12:08,12/03/2024 12:11,0,149.167.27.3,100,163,1,12/03/2024 12:11,R_4agfSz6mXBR5Yxm,,,,,-34.8545,138.6471,anonymous,EN,1,2,2,3,1,2,2,3,2,1,3,3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,,1,2,3,3,3,3,3
12/03/2024 12:13,12/03/2024 12:16,0,49.182.177.18,100,163,1,12/03/2024 12:16,R_4kSSyRTPQOjB5XG,,,,,-27.4679,153.0325,anonymous,EN,1,2,4,3,2,1,2,3,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,7,5,5,5,5,5,5,5,5,5,3,5,,4,3,5,2.333333333,5,4.333333333,5
7/03/2024 17:46,7/03/2024 17:49,0,1.157.198.52,100,164,1,7/03/2024 17:49,R_4txNkP722AQkGKO,,,,,-33.8715,151.2006,anonymous,EN,1,2,3,3,2,1,2,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,5,5,4,4,4,3,2,2,2,2,1,4,4,interesting survey,4,3,4,3,2,2.333333333,3.5
12/03/2024 12:21,12/03/2024 12:24,0,1.132.16.177,100,164,1,12/03/2024 12:24,R_4w7g6OHof2ZrIFK,,,,,-27.4679,153.0325,anonymous,EN,1,2,2,3,2,1,2,4,1,2,2,,,,,,,,,,3,4,4,4,4,4,4,4,4,,,,,,,,,,4,2,4,4,4,1,2,3,4,4,4,3,2,4,4,1,Very good,2,2,2,3.333333333,3.666666667,3.333333333,2.5
13/03/2024 12:35,13/03/2024 12:38,0,125.253.110.106,100,164,1,13/03/2024 12:38,R_4IXXDQ0wJBdOizK,,,,,-37.8159,144.9669,anonymous,EN,1,2,2,2,2,1,2,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,6,3,4,5,5,4,4,5,4,4,5,4,,4,2,4,3,4.333333333,4.333333333,4.5
8/03/2024 19:47,8/03/2024 19:50,0,49.178.98.148,100,165,1,8/03/2024 19:50,R_4DCfMs1oze8ztYt,,,,,-34.8545,138.6471,anonymous,EN,1,3,4,3,2,2,1,4,2,2,1,,,,,,,,,,6,7,1,3,1,1,1,1,1,,,,,,,,,,4,2,3,4,1,2,2,2,2,3,3,3,2,3,2,3,,2,3,2,3,3,2.333333333,2.5
8/03/2024 20:56,8/03/2024 20:58,0,1.145.103.190,100,165,1,8/03/2024 20:58,R_4g5RPCOOc3JzPI4,,,,,-33.8588,151.1822,anonymous,EN,1,2,4,3,2,3,4,2,2,3,3,6,6,3,3,4,4,3,5,4,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,4,4,3,3,3,2,3,3,3,3,,1,3,3.666666667,3,2.666666667,3,3
12/03/2024 20:01,12/03/2024 20:04,0,1.145.37.250,100,166,1,12/03/2024 20:04,R_4pWGFgLwHTyl0sI,,,,,-33.7984,151.0928,anonymous,EN,1,2,2,2,2,1,2,5,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,5,4,4,2,4,3,4,3,4,4,3,3,None ,4,2,3.333333333,3,3.333333333,3.666666667,3.5
8/03/2024 20:01,8/03/2024 20:04,0,1.145.232.45,100,167,1,8/03/2024 20:04,R_4hhJqRyr6lwrHR0,,,,,-37.7742,145.0219,anonymous,EN,1,2,3,2,2,1,2,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,3,4,4,3,3,4,3,3,2,2,4,3,,4,3,3.666666667,3,3.333333333,2.666666667,3
8/03/2024 20:13,8/03/2024 20:15,0,159.196.132.255,100,167,1,8/03/2024 20:15,R_40STcbGJs3Lh3Nf,,,,,-31.9643,115.8595,anonymous,EN,1,3,4,4,4,2,4,3,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,2,4,3,2,1,1,1,1,3,3,3,1,,4,6,3,3.333333333,1,3,1
8/03/2024 20:28,8/03/2024 20:30,0,49.192.9.39,100,167,1,8/03/2024 20:30,R_4GP3XaSoy6hs1Dr,,,,,-30.7505,121.474,anonymous,EN,1,2,3,2,1,1,4,4,2,1,3,,,,,,,,,,4,5,4,4,4,4,4,4,4,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,2,3,3,3,3,3
12/03/2024 12:02,12/03/2024 12:04,0,124.186.209.176,100,167,1,12/03/2024 12:04,R_4gwOhSIj6WFnFta,,,,,-34.8794,150.6039,anonymous,EN,1,2,3,2,2,2,4,2,2,1,3,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3
7/03/2024 17:47,7/03/2024 17:49,0,159.196.169.187,100,168,1,7/03/2024 17:49,R_4q9SIPfbhF6LGTJ,,,,,-33.7984,151.0928,anonymous,EN,1,4,5,4,4,1,5,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,3,5,1,2,3,4,1,2,1,1,1,3,1,,4,6,2,3,1.333333333,1.666666667,2.5
12/03/2024 12:20,12/03/2024 12:23,0,49.185.183.80,100,168,1,12/03/2024 12:23,R_4PyOxvcILyJkbqZ,,,,,-37.834,144.9832,anonymous,EN,1,2,3,2,1,2,1,3,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,4,3,3,3,4,3,3,3,3,4,4,2,,4,2,3,2.666666667,3,3.666666667,3
8/03/2024 19:55,8/03/2024 19:58,0,1.145.4.144,100,170,1,8/03/2024 19:58,R_4QGnJGwq4sbdWO4,,,,,-33.8652,151.1021,anonymous,EN,1,2,3,3,3,2,4,3,2,2,2,4,4,4,4,4,4,3,2,1,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,4,3,4,3,4,4,2,4,4,3,None ,1,3,3.666666667,3,3.666666667,3.333333333,3.5
12/03/2024 19:28,12/03/2024 19:31,0,122.148.138.201,100,171,1,12/03/2024 19:31,R_4jIE7LIkEyLjhTX,,,,,-27.6488,153.0567,anonymous,EN,1,3,4,3,3,1,4,5,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,5,4,4,5,3,4,3,3,1,1,3,2,all good,4,5,4.333333333,2.666666667,3.333333333,1.666666667,2.5
